Particle ID,Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circle Fit,Circularity (Hu),Compactness,Diameter (ABD),Diameter (ESD),Elongation,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Intensity,Length,Perimeter,Roughness,Sigma Intensity,Sum Intensity,Transparency,Volume (ABD),Width
1,64.97,0.92,131.29,141.13,140.03,0.93,1.00,1.04,9.10,9.44,1.00,1.00,9.27,9.27,139.35,9.96,37.08,1.05,32.53,48076.00,0.04,3.939298e+002,8.57
2,125.35,0.93,117.18,124.08,125.64,0.80,0.96,1.63,12.63,14.26,2.74,0.36,22.19,8.09,123.77,15.54,60.56,1.19,43.62,72778.00,0.11,1.055745e+003,12.99
3,35.47,0.89,136.53,135.92,139.33,0.88,0.98,1.21,6.72,7.50,1.00,1.00,8.13,8.13,137.01,7.95,32.53,1.28,40.50,29868.00,0.10,1.588789e+002,6.94
4,20.01,0.97,159.38,154.05,147.88,0.89,0.98,1.14,5.05,5.61,1.00,1.00,6.33,6.33,152.53,5.92,25.31,1.08,32.70,22269.00,0.10,6.733657e+001,5.10
5,21.04,0.94,147.45,150.59,148.96,0.92,0.99,1.02,5.18,5.51,1.00,1.00,6.08,6.08,149.13,5.88,24.34,1.06,32.36,22519.00,0.06,7.258714e+001,5.10
6,40.64,0.76,139.91,138.75,132.00,0.78,0.93,1.36,7.19,8.13,1.70,0.59,11.18,6.59,136.39,9.33,35.52,1.13,41.30,32871.00,0.12,1.948855e+002,6.47
7,26.93,0.81,154.71,150.66,146.88,0.84,0.96,1.21,5.86,7.16,1.00,1.00,7.74,7.74,149.98,7.95,30.97,1.54,15.08,26846.00,0.18,1.051335e+002,6.22
8,34.35,0.93,121.09,129.54,129.64,0.74,0.96,1.54,6.61,7.65,2.44,0.41,12.60,5.16,128.30,8.68,35.52,1.18,44.18,27327.00,0.13,1.514651e+002,6.35
9,22.91,0.92,134.53,130.51,129.08,0.93,0.99,1.00,5.40,5.69,1.00,1.00,6.16,6.16,130.51,6.03,24.66,1.05,25.32,20881.00,0.05,8.247342e+001,5.10
10,29.30,0.95,155.11,155.87,153.69,0.93,1.00,1.02,6.11,6.45,1.00,1.00,6.83,6.83,155.13,6.80,27.33,1.05,25.00,29475.00,0.05,1.193291e+002,6.01
11,27.79,0.83,153.31,151.22,150.86,0.80,0.94,1.48,5.95,7.06,2.20,0.45,11.09,5.04,151.36,7.95,32.26,1.15,37.60,27699.00,0.16,1.102058e+002,6.35
12,61.86,0.91,116.08,122.32,121.34,0.92,0.99,1.02,8.87,9.18,1.00,1.00,8.99,8.99,120.75,9.77,35.98,1.04,26.73,40088.00,0.03,3.659921e+002,8.52
13,33.91,0.88,150.25,151.06,152.38,0.80,0.95,1.51,6.57,8.28,2.31,0.43,12.85,5.56,151.35,9.25,36.82,1.42,37.78,31935.00,0.21,1.485417e+002,7.51
14,21.66,0.81,139.33,140.52,140.58,0.81,0.94,1.29,5.25,6.11,1.29,0.78,7.78,6.04,139.70,6.70,27.65,1.10,37.22,21514.00,0.14,7.582080e+001,4.84
15,25.65,0.89,141.85,140.84,137.43,0.91,0.99,1.03,5.71,6.05,1.00,1.00,6.52,6.52,139.10,6.70,26.09,1.06,29.75,24064.00,0.05,9.771995e+001,5.49
16,44.75,0.87,154.52,159.18,155.43,0.87,0.98,1.07,7.55,8.36,1.00,1.00,8.44,8.44,157.41,9.26,33.77,1.37,21.72,40768.00,0.10,2.251852e+002,7.71
17,33.91,0.83,161.38,159.79,153.46,0.87,0.98,1.13,6.57,7.95,1.00,1.00,8.25,8.25,157.67,8.92,32.99,1.54,13.12,33269.00,0.17,1.485417e+002,7.05
18,23.12,0.93,148.46,149.72,141.44,0.86,0.98,1.17,5.43,6.15,1.00,1.00,6.72,6.72,146.80,6.98,26.87,1.07,36.33,23634.00,0.12,8.360601e+001,5.25
19,27.58,0.85,147.09,143.69,138.22,0.90,0.99,1.01,5.93,6.23,1.00,1.00,6.64,6.64,141.92,6.80,26.55,1.05,18.45,25830.00,0.05,1.089281e+002,5.49
20,30.83,0.92,149.36,145.79,138.95,0.92,0.99,1.01,6.27,6.59,1.00,1.00,6.91,6.91,144.15,7.06,27.65,1.05,25.53,28397.00,0.05,1.287626e+002,5.80
21,33.91,0.89,160.03,157.51,147.04,0.92,0.99,1.02,6.57,6.94,1.00,1.00,7.19,7.19,154.47,7.48,28.76,1.04,26.80,32594.00,0.05,1.485417e+002,6.27
22,26.93,0.90,155.98,150.91,142.74,0.82,0.97,1.37,5.86,7.09,1.72,0.58,9.93,5.78,149.08,7.57,31.42,1.29,35.61,26685.00,0.17,1.051335e+002,6.18
23,42.00,0.99,127.64,136.35,141.39,0.84,0.97,1.46,7.31,8.54,2.13,0.47,12.90,6.06,136.85,9.26,37.92,1.31,38.50,33803.00,0.14,2.047821e+002,8.01
24,78.78,0.76,141.44,148.04,144.85,0.75,0.93,1.18,10.02,10.91,1.00,1.00,10.67,10.67,145.24,11.97,42.69,1.07,32.99,58387.00,0.08,5.260034e+002,8.66
25,29.52,0.82,150.42,151.09,145.11,0.88,0.98,1.04,6.13,6.49,1.00,1.00,6.91,6.91,148.24,7.32,27.65,1.06,36.11,28313.00,0.06,1.206579e+002,5.51
26,25.01,0.91,147.92,147.77,144.76,0.83,0.97,1.13,5.64,6.31,1.00,1.00,6.80,6.80,146.86,6.80,27.19,1.06,39.24,24967.00,0.11,9.410169e+001,5.67
27,34.35,0.95,136.96,137.51,134.65,0.94,1.00,1.03,6.61,6.95,1.00,1.00,7.27,7.27,136.36,7.26,29.08,1.05,29.62,29045.00,0.05,1.514651e+002,6.35
28,24.17,0.78,141.36,141.30,131.13,0.78,0.94,1.23,5.55,6.34,1.00,1.00,6.99,6.99,138.25,7.57,27.97,1.09,35.63,22950.00,0.12,8.937008e+001,4.74
29,41.09,0.82,126.30,134.71,132.70,0.79,0.94,1.32,7.23,8.12,1.45,0.69,10.39,7.14,133.17,9.26,35.06,1.12,35.11,32361.00,0.11,1.981615e+002,6.89
30,35.69,0.94,141.49,143.75,145.55,0.77,0.97,1.44,6.74,7.54,2.02,0.50,11.61,5.76,143.58,8.22,34.74,1.17,41.83,31443.00,0.11,1.603796e+002,6.91
31,41.78,1.00,133.01,137.36,140.31,0.94,1.00,1.05,7.29,7.67,1.00,1.00,7.86,7.86,137.48,7.95,31.42,1.05,22.32,33819.00,0.05,2.031184e+002,7.32
32,38.38,0.67,131.47,139.95,139.74,0.55,0.77,2.23,6.99,8.93,4.81,0.21,18.42,3.83,137.94,9.88,44.50,1.30,43.08,31863.00,0.22,1.788506e+002,7.25
33,34.35,0.73,147.69,146.39,141.83,0.80,0.94,1.10,6.61,7.24,1.00,1.00,7.51,7.51,144.70,8.22,30.05,1.06,35.27,30821.00,0.09,1.514651e+002,5.29
