Particle ID,Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circle Fit,Circularity (Hu),Compactness,Diameter (ABD),Diameter (ESD),Elongation,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Intensity,Length,Perimeter,Roughness,Sigma Intensity,Sum Intensity,Transparency,Volume (ABD),Width
1,27.58,0.99,140.17,135.84,135.22,0.93,1.00,1.03,5.93,6.78,1.00,1.00,7.11,7.11,135.85,6.99,28.43,1.37,12.20,24724.00,0.13,1.089281e+002,6.35
2,29.52,0.96,133.92,138.84,141.04,0.93,1.00,1.04,6.13,6.46,1.00,1.00,6.91,6.91,137.97,6.80,27.65,1.06,24.59,26353.00,0.05,1.206579e+002,6.14
3,30.17,0.96,135.90,139.82,134.86,0.85,0.98,1.23,6.20,6.99,1.00,1.00,7.58,7.58,137.22,8.07,30.32,1.09,33.67,26621.00,0.11,1.246820e+002,6.27
4,25.44,0.89,126.30,129.38,128.58,0.82,0.97,1.28,5.69,6.42,1.17,0.85,7.84,6.70,127.65,7.21,29.08,1.12,43.35,21955.00,0.11,9.650727e+001,5.49
5,33.25,0.86,128.79,135.50,141.56,0.81,0.94,1.33,6.51,7.62,1.50,0.67,9.75,6.51,136.50,8.49,32.53,1.09,43.42,28392.00,0.15,1.442022e+002,7.13
6,20.83,0.96,165.01,157.41,148.66,0.94,1.00,1.00,5.15,5.72,1.00,1.00,6.16,6.16,155.65,6.11,24.66,1.29,16.39,23348.00,0.10,7.152309e+001,5.25
7,45.90,0.87,145.88,153.19,153.94,0.86,0.98,1.20,7.64,8.23,1.00,1.00,8.72,8.72,152.55,8.92,34.87,1.10,41.79,40274.00,0.07,2.339235e+002,7.44
8,45.21,0.91,140.16,141.98,134.66,0.86,0.98,1.17,7.59,8.19,1.00,1.00,8.57,8.57,139.58,8.92,34.28,1.09,45.26,36430.00,0.07,2.286639e+002,7.46
9,29.09,0.88,152.52,145.08,140.11,0.90,0.99,1.01,6.09,6.73,1.00,1.00,6.99,6.99,144.16,7.48,27.97,1.26,5.93,27246.00,0.10,1.180067e+002,5.88
10,23.54,0.85,150.89,148.84,146.63,0.87,0.98,1.03,5.47,5.91,1.00,1.00,6.36,6.36,147.71,6.48,25.44,1.05,20.59,24077.00,0.07,8.589147e+001,5.10
11,42.69,0.94,126.55,142.31,148.05,0.87,0.98,1.16,7.37,8.03,1.00,1.00,8.33,8.33,142.24,8.49,33.31,1.07,46.49,35559.00,0.08,2.098070e+002,7.44
12,60.43,0.83,115.94,127.16,125.18,0.82,0.96,1.38,8.77,9.82,1.76,0.57,13.22,7.53,125.26,10.68,41.50,1.13,42.14,40836.00,0.11,3.533804e+002,8.14
13,31.92,0.95,126.66,117.15,108.58,0.93,1.00,1.05,6.38,7.28,1.00,1.00,7.58,7.58,115.35,7.61,30.32,1.37,11.87,23301.00,0.12,1.356881e+002,6.91
14,61.38,0.45,148.60,147.90,149.13,0.46,0.69,1.54,8.84,10.90,2.43,0.41,15.65,6.44,147.79,14.16,44.17,1.10,37.59,48771.00,0.19,3.617682e+002,6.15
