Particle ID,Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circle Fit,Circularity (Hu),Compactness,Diameter (ABD),Diameter (ESD),Elongation,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Intensity,Length,Perimeter,Roughness,Sigma Intensity,Sum Intensity,Transparency,Volume (ABD),Width
1,20.01,0.87,137.27,131.49,131.05,0.88,0.98,1.18,5.05,6.03,1.00,1.00,6.80,6.80,131.29,6.97,27.19,1.40,35.32,19169.00,0.16,6.733657e+001,5.14
2,38.15,0.81,148.47,144.67,151.01,0.85,0.97,1.15,6.97,7.67,1.00,1.00,7.97,7.97,146.98,8.45,31.88,1.07,4.39,33806.00,0.09,1.772790e+002,6.61
3,24.59,0.93,140.97,134.64,130.30,0.91,0.99,1.01,5.60,6.59,1.00,1.00,6.91,6.91,133.79,7.06,27.65,1.59,14.50,22476.00,0.15,9.172258e+001,5.80
4,32.14,0.82,135.38,136.35,137.26,0.67,0.91,1.73,6.40,7.73,3.13,0.32,13.93,4.45,135.93,8.96,36.76,1.21,32.48,27594.00,0.17,1.370917e+002,6.35
5,33.47,0.72,130.49,124.60,118.89,0.79,0.94,1.20,6.53,8.49,1.00,1.00,8.88,8.88,123.54,9.88,35.52,1.56,6.42,25819.00,0.23,1.456426e+002,6.66
6,21.45,0.86,148.71,146.47,146.37,0.82,0.97,1.29,5.23,6.03,1.25,0.80,7.66,6.10,146.31,7.18,27.52,1.11,23.68,22386.00,0.13,7.473601e+001,5.01
7,28.65,0.90,124.11,124.21,125.96,0.77,0.97,1.47,6.04,7.01,2.17,0.46,11.14,5.13,124.69,8.15,32.53,1.16,34.35,23317.00,0.14,1.153809e+002,5.80
8,22.49,0.97,114.44,120.97,119.75,0.87,0.97,1.22,5.35,6.04,1.00,1.00,6.80,6.80,119.86,6.80,27.19,1.10,41.86,18938.00,0.11,8.022859e+001,5.49
9,39.96,0.97,136.85,127.64,124.61,0.94,1.00,1.05,7.13,7.73,1.00,1.00,7.94,7.94,127.46,7.90,31.75,1.26,15.21,30336.00,0.08,1.900144e+002,7.46
10,43.83,0.99,136.85,142.92,142.34,0.91,0.99,1.10,7.47,7.95,1.00,1.00,8.21,8.21,141.86,8.68,32.85,1.07,30.14,36175.00,0.06,2.182945e+002,7.46
11,38.15,0.79,149.17,148.86,149.20,0.85,0.97,1.03,6.97,7.38,1.00,1.00,7.55,7.55,148.82,8.55,30.19,1.04,24.26,34229.00,0.06,1.772790e+002,5.80
12,24.59,0.83,135.05,141.19,146.38,0.80,0.94,1.49,5.60,6.75,2.22,0.45,10.68,4.80,141.71,8.01,30.97,1.14,40.12,23807.00,0.17,9.172258e+001,5.29
13,30.83,0.83,160.72,149.74,143.77,0.84,0.96,1.23,6.27,7.05,1.00,1.00,7.63,7.63,149.16,8.62,30.51,1.09,39.20,29385.00,0.11,1.287626e+002,5.95
14,31.27,0.93,132.80,142.02,139.64,0.76,0.96,1.39,6.31,7.44,1.80,0.56,10.45,5.82,139.67,8.79,32.53,1.11,37.46,27794.00,0.15,1.315142e+002,6.27
15,22.28,0.89,136.65,139.41,139.66,0.81,0.94,1.40,5.33,6.24,1.88,0.53,9.49,5.05,139.13,6.80,29.08,1.14,39.60,21843.00,0.15,7.911639e+001,5.62
16,26.93,0.78,118.01,128.01,121.40,0.84,0.96,1.14,5.86,6.39,1.00,1.00,6.99,6.99,124.88,7.18,27.97,1.08,33.07,22354.00,0.08,1.051335e+002,5.29
17,36.13,0.90,127.83,130.11,133.62,0.92,0.99,1.06,6.78,7.17,1.00,1.00,7.50,7.50,130.29,7.61,30.00,1.06,27.96,28793.00,0.05,1.633990e+002,6.61
18,29.09,0.92,136.22,137.92,141.59,0.82,0.97,1.38,6.09,6.89,1.76,0.57,10.08,5.72,138.79,7.73,31.61,1.15,43.54,26231.00,0.12,1.180067e+002,5.80
19,36.58,0.83,142.19,144.04,135.62,0.83,0.95,1.23,6.82,7.53,1.00,1.00,8.10,8.10,141.29,8.55,32.40,1.10,43.28,31508.00,0.09,1.664421e+002,6.75
20,24.17,0.81,136.91,134.87,122.08,0.79,0.92,1.52,5.55,6.62,2.36,0.42,10.95,4.63,131.28,7.21,31.16,1.17,36.99,21792.00,0.16,8.937008e+001,5.49
