start_time,cell_count,Unique_ID,date,temperature,P.treatment,replicate,unique_number,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours
2016-07-03T15:18:01Z,5057.0,15,JULY3,12,FULL,5,15.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-03 15:18:01 UTC,3.0432638888888888,73.03833333333333
2016-07-04T14:17:54Z,4787.0,15,JULY4,12,FULL,5,15.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 14:17:54 UTC,4.001516203703703,96.0363888888889
2016-06-30T14:22:57Z,6281.0,15,JUNE30,12,FULL,5,15.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-06-30 14:22:57 UTC,0.005023148148148148,0.12055555555555555
2016-07-06T13:17:50Z,10247.0,16,lst,12,DEF,1,16.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 13:17:50 UTC,5.959803240740741,143.03527777777776
2016-07-02T10:56:27Z,2822.0,16,JULY2,12,DEF,1,16.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 10:56:27 UTC,1.8616203703703704,44.67888888888889
2016-07-04T14:19:11Z,4308.0,16,JULY4,12,DEF,1,16.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 14:19:11 UTC,4.002407407407407,96.05777777777777
2016-07-05T16:50:11Z,7270.0,16,JULY5,12,DEF,1,16.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-05 16:50:11 UTC,5.107268518518518,122.57444444444444
2016-06-30T14:31:00Z,6789.0,16,JUNE30,12,DEF,1,16.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-06-30 14:31:00 UTC,0.010613425925925925,0.25472222222222224
2016-07-06T13:19:09Z,12219.0,17,lst,12,DEF,2,17.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 13:19:09 UTC,5.960717592592593,143.0572222222222
2016-07-02T10:57:57Z,3153.0,17,JULY2,12,DEF,2,17.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 10:57:57 UTC,1.862662037037037,44.70388888888889
2016-07-04T14:21:08Z,6445.0,17,JULY4,12,DEF,2,17.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 14:21:08 UTC,4.003761574074074,96.09027777777777
2016-06-30T14:34:30Z,5720.0,17,JUNE30,12,DEF,2,17.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-06-30 14:34:30 UTC,0.013043981481481481,0.31305555555555553
2016-07-06T13:20:22Z,13817.0,18,lst,12,DEF,3,18.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 13:20:22 UTC,5.9615625,143.0775
2016-07-02T10:59:27Z,2726.0,18,JULY2,12,DEF,3,18.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 10:59:27 UTC,1.8637037037037036,44.72888888888889
2016-07-04T14:22:33Z,3909.0,18,JULY4,12,DEF,3,18.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 14:22:33 UTC,4.004745370370371,96.1138888888889
2016-06-30T14:36:13Z,5938.0,18,JUNE30,12,DEF,3,18.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-06-30 14:36:13 UTC,0.01423611111111111,0.3416666666666667
2016-07-06T13:21:41Z,16515.0,19,lst,12,DEF,4,19.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 13:21:41 UTC,5.962476851851852,143.09944444444446
2016-07-02T11:00:56Z,2400.0,19,JULY2,12,DEF,4,19.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 11:00:56 UTC,1.8647337962962962,44.75361111111111
