name,replicate,temperature,Particle ID,Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circle Fit,Circularity (Hu),Compactness,Diameter (ABD),Diameter (ESD),Elongation,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Intensity,Length,Perimeter,Roughness,Sigma Intensity,Sum Intensity,Transparency,Volume (ABD),Width,datasetID
cl,3,20,8,35.91,0.88,133.26,132.58,132.5,0.91,0.99,1.01,6.76,7.1,1,1,7.3,7.3,132.61,7.71,29.21,1.04,19.45,29174,0.05,161.8863,6.27,cl-3-20
cl,3,20,9,23.96,0.97,124.79,134.01,128.08,0.83,0.97,1.38,5.52,6.57,1.76,0.57,9.42,5.35,131.17,7.18,29.54,1.11,37.84,21643,0.16,88.20384,5.65,cl-3-20
cl,3,20,10,27.58,0.93,152.18,145.18,144.89,0.9,0.99,1.24,5.93,7.52,1,1,8.21,8.21,145.88,8.22,32.85,1.52,4.91,26550,0.21,108.9281,6.66,cl-3-20
cl,3,20,11,20.01,0.4,172.35,158.95,160.58,0.36,0.38,4.73,5.05,9.18,12.77,0.08,23.86,1.87,160.41,12.19,51.45,1.46,28.32,23420,0.45,67.33657,5.33,cl-3-20
cl,3,20,12,31.05,0.73,155.51,155.33,150.38,0.6,0.61,3.18,6.29,8.2,7.88,0.13,21.82,2.77,152.67,9.25,49.18,1.53,4.87,30229,0.23,130.1353,6.92,cl-3-20
cl,3,20,13,24.17,0.83,136.48,138.76,132.25,0.89,0.98,1.04,5.55,5.92,1,1,6.44,6.44,136.55,6.5,25.76,1.06,32.92,22667,0.06,89.37008,5.01,cl-3-20
cl,3,20,14,28.22,0.94,128.29,128.44,129.42,0.93,1,1.02,5.99,6.28,1,1,6.72,6.72,128.46,6.7,26.87,1.05,22.63,23765,0.05,112.7805,5.8,cl-3-20
cl,3,20,15,66.41,0.95,103.88,109.74,109.25,0.83,0.97,1.1,9.2,9.87,1,1,9.63,9.63,108.49,10.33,38.51,1.05,28.12,38080,0.07,407.1037,9.12,cl-3-20
cl,3,20,16,31.49,0.79,128.49,127.57,129.01,0.86,0.97,1.05,6.33,6.96,1,1,7.27,7.27,128.07,8.03,29.08,1.23,17.84,25614,0.09,132.8993,5.8,cl-3-20
cl,3,20,17,22.49,0.91,138.84,131.16,131.96,0.92,0.99,1.03,5.35,5.69,1,1,6.25,6.25,131.91,5.98,24.98,1.06,19.99,20842,0.06,80.22859,5.25,cl-3-20
cl,3,20,18,22.91,0.91,133.36,131.7,132.57,0.92,0.99,1,5.4,5.69,1,1,6.16,6.16,132.13,5.98,24.66,1.05,26.74,21140,0.05,82.47342,5.08,cl-3-20
cl,3,20,19,27.36,0.84,149.82,140.36,135.78,0.87,0.98,1.07,5.9,7.01,1,1,7.3,7.3,140.07,8.15,29.21,1.38,7.33,25352,0.16,107.6568,5.8,cl-3-20
cl,3,20,20,25.22,0.91,148.24,137.81,133.27,0.91,0.99,1.05,5.67,6.57,1,1,6.99,6.99,137.63,7.18,27.97,1.39,5.97,23534,0.14,95.30118,5.8,cl-3-20
cl,3,20,21,22.07,0.94,150.16,146.96,140.3,0.88,0.99,1.03,5.3,5.8,1,1,6.21,6.21,144.71,6.5,24.85,1.04,31.24,22575,0.09,78.01101,5.08,cl-3-20
cl,3,20,22,25.65,0.88,150.7,148.31,145.37,0.91,0.99,1.03,5.71,6.57,1,1,6.91,6.91,147.14,7.06,27.65,1.37,4.29,25456,0.13,97.71995,5.8,cl-3-20
cl,4,20,1,46.82,0.97,149.32,138.84,134.83,0.92,1,1.09,7.72,8.47,1,1,8.64,8.64,138.63,8.79,34.55,1.31,7.36,37152,0.09,241.0132,8.23,cl-4-20
cl,4,20,2,40.87,1,145.17,133.69,125.89,0.94,1,1.11,7.21,8.25,1,1,8.52,8.52,132.42,8.57,34.09,1.41,10.04,32045,0.13,196.5207,8.01,cl-4-20
cl,4,20,3,38.38,0.97,143.34,132.99,125.63,0.94,1,1.03,6.99,7.98,1,1,8.1,8.1,131.96,8.45,32.4,1.39,10.47,30483,0.12,178.8506,7.46,cl-4-20
cl,4,20,4,43.6,0.97,139.22,134.92,133.97,0.94,1,1.06,7.45,7.99,1,1,8.17,8.17,134.22,8.25,32.66,1.22,20.24,34092,0.07,216.5858,7.7,cl-4-20
cl,4,20,5,42.46,0.99,130.01,133.82,131.74,0.94,1,1.01,7.35,7.65,1,1,7.78,7.78,132.24,7.86,31.1,1.05,27.66,32929,0.04,208.1264,7.44,cl-4-20
cl,4,20,6,39.96,0.96,123.02,133.21,130.16,0.94,1,1.01,7.13,7.42,1,1,7.58,7.58,130.1,7.71,30.32,1.04,33.83,30964,0.04,190.0144,6.91,cl-4-20
cl,4,20,7,36.58,0.98,118.21,128.91,124.72,0.94,1,1.04,6.82,7.15,1,1,7.47,7.47,125.84,7.48,29.86,1.06,37.54,28062,0.05,166.4421,6.91,cl-4-20
cl,4,20,8,35.02,0.98,112.4,125.52,122.63,0.94,1,1.01,6.68,6.96,1,1,7.22,7.22,123.15,7.21,28.89,1.05,40.15,26601,0.04,155.8953,6.66,cl-4-20
cl,4,20,9,32.8,0.99,106.02,122.77,119.55,0.95,1,1,6.46,6.72,1,1,6.99,6.99,119.87,6.98,27.97,1.04,42.26,24694,0.04,141.3396,6.35,cl-4-20
cl,4,20,10,41.09,0.94,124.75,131.31,131.77,0.8,0.95,1.87,7.23,9.3,3.6,0.28,17.11,4.75,130.45,10.42,43.72,1.49,43.84,31700,0.22,198.1615,8.03,cl-4-20
cl,4,20,11,56.64,0.95,135.01,143.32,138,0.84,0.97,1.28,8.49,9.39,1.11,0.9,10.25,9.24,140.78,9.78,38.97,1.1,43.57,43642,0.1,320.6362,8.62,cl-4-20
cl,4,20,12,21.45,0.41,172.85,160.18,161.7,0.35,0.4,5.01,5.23,8.93,13.68,0.07,25.28,1.85,161.78,11.43,54.25,1.57,27.78,24753,0.41,74.73601,5.24,cl-4-20
cl,4,20,13,53.58,0.98,133.51,141.46,136.19,0.81,0.97,1.4,8.26,9.21,1.86,0.54,12.99,6.98,138.99,9.96,39.94,1.15,44.07,41281,0.1,294.9972,8.57,cl-4-20
cl,4,20,14,53.58,0.88,131.37,140.9,134.85,0.81,0.97,1.48,8.26,9.1,2.19,0.46,14.08,6.44,137.81,9.46,41.05,1.19,44.19,40930,0.09,294.9972,8.43,cl-4-20
cl,4,20,15,50.77,0.96,126.91,135.36,130.77,0.83,0.98,1.33,8.04,8.83,1.54,0.65,11.58,7.52,133.01,9.26,38.19,1.14,44.56,37907,0.09,272.1144,8.28,cl-4-20
cl,4,20,16,44.98,0.88,124.39,128.86,129.18,0.87,0.98,1.43,7.57,8.83,1.99,0.5,12.87,6.45,128.46,9.81,38.65,1.33,45.32,33399,0.14,226.9218,7.44,cl-4-20
cl,4,20,17,45.9,0.96,125.33,127.47,128.6,0.87,0.98,1.46,7.64,8.87,2.1,0.48,13.32,6.33,127.59,9.78,39.29,1.34,43.96,33683,0.14,233.9235,8.03,cl-4-20
cl,4,20,18,41.09,0.9,116.27,119.81,121.8,0.79,0.95,1.66,7.23,8.74,2.86,0.35,14.91,5.22,120,9.33,40.27,1.39,41.83,29160,0.17,198.1615,7.46,cl-4-20
cl,4,20,19,37.93,0.84,107.45,116.15,116.37,0.8,0.97,1.31,6.95,7.82,1.42,0.71,9.95,7.03,114.88,8.8,33.96,1.12,40.16,26307,0.11,175.7132,6.66,cl-4-20
cl,4,20,20,35.02,0.96,101.14,113.58,113.66,0.95,1,1,6.68,6.95,1,1,7.19,7.19,111.82,7.18,28.76,1.04,39.75,24153,0.04,155.8953,6.35,cl-4-20
cl,4,20,21,27.58,0.94,135.08,135.72,137.3,0.94,1,1.01,5.93,6.22,1,1,6.64,6.64,134.35,6.64,26.55,1.05,25.99,24451,0.05,108.9281,5.8,cl-4-20
cl,4,20,22,26.29,0.83,143.42,145.44,143.06,0.88,0.98,1.07,5.79,6.24,1,1,6.72,6.72,144.24,6.98,26.87,1.06,32.06,25386,0.07,101.3974,5.24,cl-4-20
cl,4,20,23,25.01,0.94,148.09,135.04,125.99,0.92,1,1.02,5.64,6.89,1,1,7.19,7.19,133.75,7.21,28.76,1.48,5.29,22738,0.18,94.10169,6.35,cl-4-20
cl,4,20,24,45.21,0.94,120.61,125.06,125.56,0.92,1,1.06,7.59,7.93,1,1,8.13,8.13,124.54,8.34,32.53,1.06,25.3,32505,0.04,228.6639,7.44,cl-4-20
cl,4,20,25,48.91,0.81,132.12,134.28,133.12,0.75,0.92,1.56,7.89,9.89,2.5,0.4,15.27,6.1,132.96,11.1,42.74,1.43,26.27,36830,0.2,257.2843,8.32,cl-4-20
cl,4,20,26,32.58,0.94,111.34,124.14,124.28,0.81,0.95,1.55,6.44,7.56,2.47,0.41,12.43,5.04,122.72,8.39,34.93,1.18,40.01,25158,0.15,139.9175,6.91,cl-4-20
cl,4,20,27,32.58,0.89,122.84,128.44,133.77,0.8,0.97,1.37,6.44,7.3,1.73,0.58,10.42,6.01,129.35,8.25,32.85,1.14,36.73,26517,0.12,139.9175,6.28,cl-4-20
cl,4,20,28,29.96,0.65,136.88,125.28,118.19,0.77,0.91,1.08,6.18,6.78,1,1,7.06,7.06,116.2,8.21,28.24,1.05,21.5,22427,0.09,123.3343,4.58,cl-4-20
cl,4,20,29,44.98,0.91,148.74,155.04,147.32,0.92,0.99,1.09,7.57,8,1,1,8.25,8.25,151.72,8.45,32.99,1.07,30.85,39447,0.05,226.9218,7.44,cl-4-20
