List File,1.lst
Start Time,2016-07-16  17:20:35
Sampling Time,38 sec

Count,11230
Particles / ml,841093

Efficiency,7.1%
PPUI,30.35

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),74.12,19.60,2861.59,50.34,67.92
Aspect Ratio,0.83,0.28,1.00,0.11,13.58
Circle Fit,0.73,0.00,0.96,0.13,17.27
Circularity (Hu),0.92,0.15,1.00,0.08,8.32
Compactness,1.85,1.00,11.15,0.90,48.77
Diameter (ABD),9.34,5.00,60.36,2.66,28.45
Diameter (ESD),10.93,5.25,70.59,3.27,29.89
Elongation,3.41,1.00,32.99,2.98,87.23
Geodesic Aspect Ratio,0.46,0.03,1.00,0.28,61.49
Geodesic Length,18.90,5.74,138.37,10.20,53.93
Geodesic Thickness,6.53,1.45,22.54,1.90,29.17
Image Height,34.32,20.00,107.00,6.34,18.48
Image Width,33.71,20.00,161.00,6.24,18.51
Intensity,143.33,83.78,203.23,17.10,11.93
Length,12.28,5.58,82.97,3.77,30.73
Perimeter,50.86,22.96,321.82,19.32,37.98
Roughness,1.29,1.02,2.54,0.23,18.09
Sigma Intensity,40.10,2.93,56.60,7.22,18.00
Sum Intensity,55841.87,14075.00,1.26e+006,31985.75,57.28
Transparency,0.14,0.04,0.62,0.05,37.38
Volume (ABD),543.74,65.29,1.15e+005,1192.13,219.25
Width,9.29,2.60,48.99,2.84,30.58

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,159,1.42,0.16,11909,1.17
6-7um,725,6.46,1.06,54300,7.97
7-8um,1175,10.46,2.63,88004,20
8-9um,1422,12.66,4.59,106504,34
0-5um,0,0.00,0.00,0.00,0.00
5-10um,5011,44.62,15.20,375309,114
10-15um,4909,43.71,47.86,367669,359
15-20um,1108,9.87,26.29,82986,197
20-25um,126,1.12,7.11,9437,53
25-30um,11,0.10,1.00,824,7.52
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,1,0.01,0.38,75,2.89
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1475,13.13,6.61,110473,50
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

