List File,43B_copy.lst
Start Time,2016-07-17  14:11:19
Sampling Time,34 sec

Count,5113  of  5113
Particles / ml,368600

Efficiency,8.3%
PPUI,14.77

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),57.59,19.60,492.49,33.83,58.74
Aspect Ratio,0.84,0.31,1.00,0.12,14.58
Circle Fit,0.78,0.02,0.96,0.13,16.12
Circularity (Hu),0.94,0.39,1.00,0.07,7.39
Compactness,1.46,1.00,5.49,0.42,29.12
Diameter (ABD),8.26,5.00,25.04,2.26,27.35
Diameter (ESD),9.40,5.25,26.90,2.69,28.56
Elongation,2.14,1.00,15.19,1.42,66.55
Geodesic Aspect Ratio,0.64,0.07,1.00,0.31,48.08
Geodesic Length,13.55,5.77,73.93,6.46,47.66
Geodesic Thickness,7.02,2.59,15.92,1.76,25.08
Image Height,31.33,20.00,70.00,5.22,16.66
Image Width,31.13,20.00,71.00,5.31,17.04
Intensity,145.35,78.61,191.43,15.25,10.49
Length,10.54,5.48,33.05,3.24,30.73
Perimeter,41.14,23.10,159.12,12.56,30.52
Roughness,1.19,1.03,1.96,0.13,10.87
Sigma Intensity,37.87,4.63,65.24,9.46,24.98
Sum Intensity,45812.01,14148.00,2.05e+005,22821.25,49.82
Transparency,0.12,0.03,0.39,0.05,42.28
Volume (ABD),367.12,65.29,8221.67,363.57,99.03
Width,7.96,3.04,25.43,2.21,27.71

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,276,5.40,0.96,19897,1.95
6-7um,746,14.59,3.84,53780,7.84
7-8um,770,15.06,5.97,55510,12
8-9um,700,13.69,8.00,50463,16
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3233,63.23,30.33,233069,62
10-15um,1718,33.60,53.46,123852,109
15-20um,119,2.33,9.89,8579,20
20-25um,26,0.51,4.92,1874,10
25-30um,3,0.06,1.06,216,2.16
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,720,14.08,11.39,51905,23
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

