List File,45B.lst
Start Time,2016-07-15  18:29:37
Sampling Time,39 sec

Count,6399
Particles / ml,382367

Efficiency,8.7%
PPUI,13.67

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),71.74,19.60,746.54,42.12,58.71
Aspect Ratio,0.85,0.27,1.00,0.11,12.44
Circle Fit,0.74,0.00,0.95,0.14,18.83
Circularity (Hu),0.90,0.12,1.00,0.15,16.65
Compactness,2.14,1.00,14.08,1.74,81.39
Diameter (ABD),9.19,5.00,30.83,2.61,28.41
Diameter (ESD),11.00,5.30,42.32,3.40,30.96
Elongation,4.30,1.00,42.22,5.63,130.98
Geodesic Aspect Ratio,0.50,0.02,1.00,0.32,64.43
Geodesic Length,19.58,5.77,99.63,12.65,64.59
Geodesic Thickness,6.72,1.14,18.43,2.69,39.96
Image Height,34.45,21.00,108.00,6.50,18.86
Image Width,33.77,23.00,75.00,6.36,18.84
Intensity,153.69,89.01,213.66,18.68,12.15
Length,12.13,5.58,52.68,3.81,31.39
Perimeter,52.61,23.10,217.74,23.20,44.10
Roughness,1.36,1.03,2.73,0.34,24.74
Sigma Intensity,39.39,2.59,55.69,9.80,24.87
Sum Intensity,57731.42,16119.00,3.93e+005,29859.43,51.72
Transparency,0.15,0.04,0.67,0.09,61.72
Volume (ABD),511.69,65.29,15344.12,492.61,96.27
Width,9.58,3.38,28.25,3.06,31.99

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,114,1.78,0.19,6812,0.67
6-7um,474,7.41,1.20,28324,4.19
7-8um,725,11.33,2.76,43322,9.62
8-9um,828,12.94,4.55,49477,16
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2899,45.30,14.41,173228,50
10-15um,2638,41.23,45.54,157632,159
15-20um,773,12.08,32.79,46190,114
20-25um,60,0.94,5.45,3585,19
25-30um,6,0.09,0.92,359,3.21
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,1,0.02,0.68,60,2.37
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,729,11.39,5.59,43561,19
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

