List File,5-JULY2.lst
Start Time,2016-07-02  09:51:06
Sampling Time,38 sec

Count,599
Particles / ml,36498

Efficiency,8.7%
PPUI,1.82

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),52.59,19.60,367.48,42.50,80.81
Aspect Ratio,0.86,0.37,1.00,0.11,12.58
Circle Fit,0.80,0.05,0.95,0.14,17.88
Circularity (Hu),0.94,0.51,1.00,0.07,7.94
Compactness,1.43,1.00,5.40,0.53,36.64
Diameter (ABD),7.80,5.00,21.63,2.47,31.59
Diameter (ESD),9.00,5.46,26.82,3.16,35.06
Elongation,2.07,1.00,14.91,1.74,83.96
Geodesic Aspect Ratio,0.70,0.07,1.00,0.32,45.53
Geodesic Length,12.69,5.94,65.54,7.85,61.87
Geodesic Thickness,6.99,2.45,13.40,1.80,25.69
Image Height,30.73,22.00,70.00,6.29,20.48
Image Width,30.22,23.00,62.00,5.93,19.61
Intensity,142.17,101.88,172.52,12.33,8.68
Length,10.11,5.98,31.82,3.89,38.47
Perimeter,39.37,23.74,139.93,15.23,38.68
Roughness,1.21,1.02,1.97,0.15,12.57
Sigma Intensity,32.21,3.02,52.71,12.36,38.38
Sum Intensity,40245.17,17543.00,1.92e+005,21485.41,53.39
Transparency,0.13,0.03,0.33,0.06,44.80
Volume (ABD),341.56,65.29,5299.25,541.58,158.56
Width,7.69,4.51,22.02,2.43,31.53

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,18,3.01,0.54,1097,0.11
6-7um,122,20.37,5.55,7434,1.14
7-8um,138,23.04,8.99,8409,1.85
8-9um,116,19.37,11.14,7068,2.29
0-5um,0,0.00,0.00,0.00,0.00
5-10um,468,78.13,35.65,28516,7.33
10-15um,94,15.69,22.85,5728,4.70
15-20um,21,3.51,16.57,1280,3.41
20-25um,12,2.00,19.17,731,3.94
25-30um,2,0.33,5.60,122,1.15
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,70,11.69,9.02,4265,1.85
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

