List File,37_copy.lst
Start Time,2016-07-13  19:39:42
Sampling Time,33 sec

Count,6960  of  6960
Particles / ml,480632

Efficiency,8.7%
PPUI,22.17

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),69.14,19.60,403.17,34.20,49.47
Aspect Ratio,0.82,0.30,1.00,0.11,12.96
Circle Fit,0.74,0.00,0.95,0.12,16.45
Circularity (Hu),0.93,0.18,1.00,0.07,7.37
Compactness,1.71,1.00,9.84,0.64,37.78
Diameter (ABD),9.15,5.00,22.66,2.07,22.60
Diameter (ESD),10.61,5.30,26.80,2.61,24.57
Elongation,2.93,1.00,28.88,2.16,73.79
Geodesic Aspect Ratio,0.49,0.03,1.00,0.29,57.67
Geodesic Length,17.19,5.77,76.53,8.03,46.73
Geodesic Thickness,6.74,1.62,17.45,1.78,26.34
Image Height,33.96,22.00,74.00,5.39,15.86
Image Width,32.94,23.00,69.00,5.01,15.22
Intensity,138.63,85.59,206.98,15.86,11.44
Length,11.99,5.58,33.78,3.16,26.35
Perimeter,47.87,23.10,162.11,14.71,30.73
Roughness,1.23,1.03,2.49,0.16,12.97
Sigma Intensity,38.53,5.03,56.62,7.46,19.37
Sum Intensity,50730.45,14805.00,2.46e+005,22646.21,44.64
Transparency,0.13,0.03,0.61,0.05,35.93
Volume (ABD),468.26,65.29,6089.70,394.78,84.31
Width,8.95,4.31,22.41,2.09,23.39

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,19,0.27,0.04,1312,0.13
6-7um,162,2.33,0.47,11187,1.71
7-8um,653,9.38,2.83,45094,10
8-9um,1123,16.14,6.95,77550,25
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3207,46.08,20.93,221464,76
10-15um,3349,48.12,56.02,231270,203
15-20um,333,4.78,15.64,22996,57
20-25um,54,0.78,5.79,3729,21
25-30um,9,0.13,1.55,622,5.59
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1232,17.70,10.53,85077,38
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

