List File,3B.lst
Start Time,2016-07-13  19:50:25
Sampling Time,35 sec

Count,4923
Particles / ml,320911

Efficiency,8.7%
PPUI,11.48

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),67.33,19.60,413.63,47.88,71.11
Aspect Ratio,0.82,0.34,1.00,0.12,14.80
Circle Fit,0.74,0.09,0.95,0.13,17.86
Circularity (Hu),0.92,0.23,1.00,0.07,7.93
Compactness,1.67,1.00,7.61,0.65,39.11
Diameter (ABD),8.81,5.00,22.95,2.86,32.45
Diameter (ESD),10.22,5.26,26.58,3.43,33.54
Elongation,2.82,1.00,21.87,2.20,77.79
Geodesic Aspect Ratio,0.53,0.05,1.00,0.30,57.26
Geodesic Length,16.48,5.77,65.95,8.87,53.82
Geodesic Thickness,6.67,1.68,18.17,1.93,28.92
Image Height,33.14,21.00,69.00,6.76,20.39
Image Width,32.26,21.00,72.00,6.39,19.82
Intensity,143.02,90.76,190.21,17.93,12.54
Length,11.54,5.43,32.32,4.06,35.19
Perimeter,46.31,23.10,140.90,17.31,37.38
Roughness,1.24,1.03,2.36,0.19,15.06
Sigma Intensity,39.21,3.92,57.51,7.95,20.28
Sum Intensity,51587.21,14521.00,2.70e+005,32603.38,63.20
Transparency,0.13,0.03,0.53,0.05,37.78
Volume (ABD),484.91,65.29,6328.29,571.83,117.92
Width,8.56,4.14,22.29,2.81,32.79

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,156,3.17,0.41,10169,1.01
6-7um,566,11.50,2.20,36895,5.40
7-8um,743,15.09,4.37,48433,11
8-9um,728,14.79,6.18,47455,15
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2793,56.73,20.15,182064,50
10-15um,1607,32.64,40.70,104754,100
15-20um,404,8.21,27.50,26335,68
20-25um,72,1.46,10.76,4693,26
25-30um,2,0.04,0.51,130,1.25
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,575,11.68,6.81,37482,17
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

