List File,8.lst
Start Time,2016-07-15  09:28:05
Sampling Time,39 sec

Count,617
Particles / ml,36794

Efficiency,8.7%
PPUI,1.89

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),103.61,19.81,790.10,81.81,78.96
Aspect Ratio,0.85,0.18,1.00,0.12,14.11
Circle Fit,0.74,0.00,0.95,0.15,20.84
Circularity (Hu),0.93,0.25,1.00,0.09,9.73
Compactness,1.90,1.00,9.43,1.12,58.89
Diameter (ABD),10.84,5.02,31.72,3.79,34.92
Diameter (ESD),12.54,5.37,38.71,4.65,37.11
Elongation,3.55,1.00,27.59,3.66,102.95
Geodesic Aspect Ratio,0.49,0.04,1.00,0.31,62.79
Geodesic Length,21.50,5.94,80.42,13.85,64.42
Geodesic Thickness,7.45,1.95,15.24,2.33,31.32
Image Height,37.51,23.00,87.00,9.21,24.55
Image Width,36.39,23.00,102.00,8.54,23.46
Intensity,134.67,77.28,199.32,19.73,14.65
Length,14.02,5.92,48.84,5.64,40.24
Perimeter,57.91,23.74,172.40,26.77,46.22
Roughness,1.29,1.03,2.58,0.26,20.15
Sigma Intensity,37.97,3.55,57.40,8.02,21.13
Sum Intensity,66113.69,15729.00,3.40e+005,42071.78,63.64
Transparency,0.13,0.03,0.57,0.06,44.80
Volume (ABD),949.81,66.31,16706.59,1320.58,139.04
Width,10.77,4.70,29.01,3.72,34.58

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,7,1.13,0.07,417,0.04
6-7um,19,3.08,0.31,1133,0.17
7-8um,38,6.16,0.96,2266,0.52
8-9um,56,9.08,2.04,3339,1.10
0-5um,0,0.00,0.00,0.00,0.00
5-10um,186,30.15,6.70,11092,3.60
10-15um,267,43.27,27.79,15922,15
15-20um,87,14.10,26.53,5188,14
20-25um,27,4.38,17.17,1610,9.23
25-30um,13,2.11,13.77,775,7.40
30-35um,2,0.32,3.63,119,1.95
35-40um,1,0.16,3.37,60,1.81
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,66,10.70,3.31,3936,1.78
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

