List File,37-JUNE30-R4.lst
Start Time,2016-06-30  17:43:20
Sampling Time,1 min 26 sec

Count,147
Particles / ml,4184

Efficiency,16.4%
PPUI,1.06

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),51.13,19.60,184.72,25.55,49.97
Aspect Ratio,0.87,0.43,0.99,0.11,12.91
Circle Fit,0.82,0.11,0.95,0.14,16.59
Circularity (Hu),0.95,0.56,1.00,0.07,7.36
Compactness,1.35,1.00,4.77,0.47,35.21
Diameter (ABD),7.87,5.00,15.34,1.81,22.98
Diameter (ESD),8.90,5.33,21.58,2.38,26.77
Elongation,1.80,1.00,12.92,1.54,85.47
Geodesic Aspect Ratio,0.75,0.08,1.00,0.30,39.65
Geodesic Length,11.71,5.89,55.82,6.45,55.03
Geodesic Thickness,7.39,3.25,11.82,1.74,23.59
Image Height,30.18,23.00,49.00,4.36,14.44
Image Width,30.23,23.00,61.00,4.93,16.32
Intensity,138.53,107.39,180.97,14.37,10.37
Length,9.88,5.58,27.43,3.05,30.86
Perimeter,38.21,23.55,120.28,12.09,31.65
Roughness,1.20,1.04,2.07,0.17,13.82
Sigma Intensity,33.08,4.47,49.76,11.57,34.96
Sum Intensity,39257.05,16568.00,1.19e+005,15211.94,38.75
Transparency,0.11,0.03,0.32,0.06,54.66
Volume (ABD),298.18,65.29,1888.63,252.14,84.56
Width,7.69,4.70,13.94,1.76,22.94

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,6,4.08,0.81,171,0.02
6-7um,19,12.93,4.22,541,0.08
7-8um,28,19.05,8.98,797,0.17
8-9um,31,21.09,14.76,882,0.28
0-5um,0,0.00,0.00,0.00,0.00
5-10um,117,79.59,50.63,3330,0.97
10-15um,23,15.65,27.49,655,0.53
15-20um,2,1.36,6.00,57,0.12
20-25um,2,1.36,14.34,57,0.28
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,33,22.45,21.86,939,0.42
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

