List File,48_copy.lst
Start Time,2016-07-14  17:44:40
Sampling Time,34 sec

Count,4616  of  4616
Particles / ml,315645

Efficiency,8.7%
PPUI,17.63

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),66.15,19.60,323.53,33.10,50.04
Aspect Ratio,0.83,0.30,1.00,0.11,12.86
Circle Fit,0.76,0.00,0.95,0.13,17.22
Circularity (Hu),0.94,0.19,1.00,0.07,7.31
Compactness,1.59,1.00,7.56,0.62,38.86
Diameter (ABD),8.96,5.00,20.30,2.01,22.40
Diameter (ESD),10.25,5.26,26.54,2.57,25.10
Elongation,2.54,1.00,21.71,2.08,81.84
Geodesic Aspect Ratio,0.59,0.05,1.00,0.31,53.39
Geodesic Length,15.56,5.77,72.51,8.04,51.71
Geodesic Thickness,7.16,1.73,19.40,1.85,25.89
Image Height,33.16,22.00,75.00,5.25,15.84
Image Width,32.34,22.00,72.00,4.96,15.33
Intensity,128.52,80.16,208.66,16.99,13.22
Length,11.56,5.48,36.25,3.15,27.24
Perimeter,45.43,23.10,151.71,14.56,32.04
Roughness,1.19,1.03,2.29,0.15,12.65
Sigma Intensity,35.71,4.47,59.50,8.33,23.33
Sum Intensity,45282.56,15472.00,1.96e+005,20755.43,45.84
Transparency,0.12,0.03,0.59,0.05,41.40
Volume (ABD),438.58,65.29,4377.59,378.69,86.34
Width,8.68,3.54,21.24,2.00,23.08

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,11,0.24,0.03,752,0.07
6-7um,116,2.51,0.56,7932,1.22
7-8um,540,11.70,3.94,36926,8.53
8-9um,943,20.43,9.64,64483,21
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2554,55.33,27.39,174644,59
10-15um,1819,39.41,49.12,124384,106
15-20um,196,4.25,15.76,13403,34
20-25um,33,0.71,5.98,2257,13
25-30um,5,0.11,1.44,342,3.12
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,930,20.15,13.07,63594,28
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

