List File,36B_copy.lst
Start Time,2016-07-18  16:04:29
Sampling Time,34 sec

Count,8237  of  8237
Particles / ml,561879

Efficiency,8.7%
PPUI,21.04

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),61.06,19.81,359.27,29.72,48.67
Aspect Ratio,0.85,0.21,1.00,0.10,12.31
Circle Fit,0.78,0.00,0.96,0.12,15.66
Circularity (Hu),0.95,0.35,1.00,0.06,6.83
Compactness,1.51,1.00,6.54,0.50,32.80
Diameter (ABD),8.62,5.02,21.39,1.86,21.54
Diameter (ESD),9.83,5.42,26.40,2.41,24.52
Elongation,2.30,1.00,18.50,1.67,72.26
Geodesic Aspect Ratio,0.62,0.05,1.00,0.32,51.02
Geodesic Length,14.36,5.94,73.75,6.92,48.19
Geodesic Thickness,7.13,1.92,14.38,1.75,24.48
Image Height,32.26,21.00,80.00,4.96,15.38
Image Width,31.70,19.00,74.00,4.72,14.88
Intensity,126.76,80.87,189.18,16.52,13.03
Length,11.06,5.76,36.58,3.02,27.29
Perimeter,42.99,23.74,155.48,12.48,29.02
Roughness,1.17,1.03,2.12,0.12,10.42
Sigma Intensity,36.04,7.27,58.63,8.16,22.63
Sum Intensity,41859.55,14361.00,2.19e+005,18188.91,43.45
Transparency,0.12,0.03,0.41,0.05,45.22
Volume (ABD),386.99,66.31,5122.62,337.53,87.22
Width,8.39,3.59,22.33,1.85,22.04

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,39,0.47,0.08,2660,0.27
6-7um,411,4.99,1.27,28036,4.29
7-8um,1191,14.46,5.43,81243,18
8-9um,1706,20.71,11.13,116373,38
0-5um,0,0.00,0.00,0.00,0.00
5-10um,5014,60.87,32.91,342025,111
10-15um,2943,35.73,48.27,200754,163
15-20um,203,2.46,10.42,13847,35
20-25um,56,0.68,6.74,3820,23
25-30um,8,0.10,1.46,546,4.92
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1625,19.73,14.75,110848,50
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

