List File,34.lst
Start Time,2016-07-11  15:58:53
Sampling Time,39 sec

Count,302
Particles / ml,17670

Efficiency,8.6%
PPUI,1.37

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),117.16,19.81,472.79,85.06,72.60
Aspect Ratio,0.82,0.38,0.99,0.13,16.26
Circle Fit,0.70,0.06,0.95,0.17,25.03
Circularity (Hu),0.90,0.43,1.00,0.12,12.86
Compactness,2.16,1.03,13.25,1.27,58.84
Diameter (ABD),11.52,5.02,24.54,4.05,35.17
Diameter (ESD),13.63,5.48,29.60,4.70,34.50
Elongation,4.44,1.00,39.61,4.15,93.41
Geodesic Aspect Ratio,0.39,0.03,1.00,0.26,67.98
Geodesic Length,24.87,6.02,86.09,13.71,55.15
Geodesic Thickness,7.15,2.00,16.04,2.73,38.14
Image Height,39.46,22.00,74.00,9.31,23.59
Image Width,38.42,24.00,70.00,8.67,22.56
Intensity,140.02,88.99,181.38,18.63,13.30
Length,15.31,6.22,36.23,5.55,36.24
Perimeter,64.03,24.07,181.82,26.69,41.68
Roughness,1.36,1.05,2.50,0.24,18.01
Sigma Intensity,41.28,7.65,58.29,6.79,16.44
Sum Intensity,75970.65,17588.00,2.40e+005,45813.62,60.30
Transparency,0.15,0.04,0.42,0.08,50.06
Volume (ABD),1124.67,66.31,7733.22,1276.99,113.54
Width,11.63,4.14,25.36,3.95,33.97

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,0.66,0.03,117,0.01
6-7um,10,3.31,0.27,585,0.09
7-8um,12,3.97,0.48,702,0.15
8-9um,14,4.64,0.81,819,0.26
0-5um,0,0.00,0.00,0.00,0.00
5-10um,63,20.86,3.62,3686,1.17
10-15um,143,47.35,26.41,8367,8.50
15-20um,55,18.21,27.99,3218,9.01
20-25um,26,8.61,26.23,1521,8.45
25-30um,8,2.65,14.80,468,4.77
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,25,8.28,2.03,1463,0.65
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

