List File,50_copy.lst
Start Time,2016-07-14  17:52:27
Sampling Time,37 sec

Count,5180  of  5180
Particles / ml,323377

Efficiency,8.6%
PPUI,12.36

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),65.02,19.81,412.53,31.61,48.61
Aspect Ratio,0.83,0.19,1.00,0.11,13.03
Circle Fit,0.77,0.00,0.96,0.13,16.66
Circularity (Hu),0.94,0.36,1.00,0.06,6.68
Compactness,1.54,1.00,7.52,0.56,36.25
Diameter (ABD),8.90,5.02,22.92,1.91,21.46
Diameter (ESD),10.13,5.34,26.83,2.42,23.94
Elongation,2.35,1.00,21.56,1.88,79.83
Geodesic Aspect Ratio,0.62,0.05,1.00,0.31,50.56
Geodesic Length,14.87,5.86,76.20,7.43,49.96
Geodesic Thickness,7.32,2.01,16.02,1.81,24.77
Image Height,32.98,22.00,82.00,5.07,15.37
Image Width,32.00,22.00,73.00,4.66,14.55
Intensity,127.33,77.87,187.17,15.94,12.52
Length,11.44,5.58,37.49,3.00,26.25
Perimeter,44.39,23.42,164.00,13.37,30.11
Roughness,1.18,1.02,2.22,0.14,11.60
Sigma Intensity,34.71,8.25,56.43,8.06,23.23
Sum Intensity,44135.84,15476.00,2.02e+005,19040.44,43.14
Transparency,0.12,0.03,0.41,0.05,41.14
Volume (ABD),425.15,66.31,6303.02,368.97,86.79
Width,8.54,4.14,21.83,1.87,21.94

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,14,0.27,0.04,874,0.09
6-7um,137,2.64,0.62,8553,1.30
7-8um,597,11.53,4.06,37270,8.53
8-9um,1105,21.33,10.66,68983,22
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2914,56.25,29.33,181915,62
10-15um,2054,39.65,51.52,128227,108
15-20um,168,3.24,12.59,10488,26
20-25um,30,0.58,5.05,1873,11
25-30um,5,0.10,1.37,312,2.89
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1031,19.90,13.66,64363,29
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

