List File,35_copy.lst
Start Time,2016-07-10  10:49:54
Sampling Time,39 sec

Count,339  of  339
Particles / ml,20381

Efficiency,8.6%
PPUI,1.81

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),125.06,20.01,409.23,80.56,64.42
Aspect Ratio,0.84,0.46,1.00,0.12,13.81
Circle Fit,0.72,0.07,0.94,0.15,21.22
Circularity (Hu),0.93,0.63,1.00,0.08,8.13
Compactness,1.92,1.00,7.00,0.84,43.97
Diameter (ABD),12.04,5.05,22.83,3.78,31.42
Diameter (ESD),13.94,5.42,26.66,4.55,32.63
Elongation,3.65,1.00,19.95,2.80,76.65
Geodesic Aspect Ratio,0.42,0.05,1.00,0.26,62.55
Geodesic Length,24.14,5.94,76.37,12.77,52.90
Geodesic Thickness,7.69,2.53,20.48,2.44,31.80
Image Height,39.78,24.00,71.00,8.68,21.83
Image Width,39.10,23.00,66.00,8.57,21.92
Intensity,139.54,91.94,180.38,16.83,12.06
Length,15.56,6.03,31.38,5.49,35.31
Perimeter,63.65,23.74,163.22,24.94,39.19
Roughness,1.33,1.04,2.34,0.24,17.75
Sigma Intensity,42.45,12.71,52.39,5.88,13.85
Sum Intensity,79996.42,18500.00,2.63e+005,42256.45,52.82
Transparency,0.13,0.04,0.34,0.05,38.60
Volume (ABD),1203.45,67.34,6227.42,1192.96,99.13
Width,11.97,4.58,22.85,3.60,30.06

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,0.59,0.03,120,0.01
6-7um,7,2.06,0.17,421,0.07
7-8um,7,2.06,0.24,421,0.09
8-9um,12,3.54,0.59,721,0.23
0-5um,0,0.00,0.00,0.00,0.00
5-10um,55,16.22,2.94,3307,1.14
10-15um,171,50.44,25.64,10280,9.98
15-20um,64,18.88,25.21,3848,9.81
20-25um,43,12.68,37.59,2585,15
25-30um,6,1.77,8.62,361,3.35
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,27,7.96,1.92,1623,0.75
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

