List File,6.lst
Start Time,2016-08-13  10:55:19
Sampling Time,41 sec

Count,1840
Particles / ml,106210

Efficiency,8.4%
PPUI,3.91

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),92.20,20.22,599.91,50.78,55.07
Aspect Ratio,0.86,0.35,1.00,0.11,12.28
Circle Fit,0.77,0.00,0.96,0.13,16.89
Circularity (Hu),0.95,0.16,1.00,0.06,6.60
Compactness,1.65,1.00,8.60,0.62,37.47
Diameter (ABD),10.49,5.07,27.64,2.72,25.94
Diameter (ESD),11.91,6.12,35.72,3.28,27.55
Elongation,2.77,1.00,24.97,2.08,75.30
Geodesic Aspect Ratio,0.55,0.04,1.00,0.32,58.08
Geodesic Length,18.55,6.60,90.40,9.67,52.14
Geodesic Thickness,7.77,1.50,17.71,2.20,28.33
Image Height,35.97,24.00,97.00,6.43,17.88
Image Width,35.50,23.00,63.00,6.22,17.53
Intensity,119.22,72.84,197.55,20.75,17.40
Length,13.24,6.50,45.60,3.84,29.04
Perimeter,52.64,26.41,196.77,18.01,34.22
Roughness,1.22,1.03,2.21,0.17,14.05
Sigma Intensity,37.70,2.72,60.60,7.73,20.51
Sum Intensity,54064.76,17648.00,2.50e+005,26845.29,49.65
Transparency,0.12,0.03,0.63,0.05,44.01
Volume (ABD),735.32,68.37,11053.44,664.81,90.41
Width,10.32,3.86,26.11,2.78,26.93

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,26,1.41,0.20,1501,0.23
7-8um,85,4.62,1.00,4906,1.12
8-9um,180,9.78,2.99,10390,3.35
0-5um,0,0.00,0.00,0.00,0.00
5-10um,560,30.43,10.43,32325,12
10-15um,889,48.32,42.69,51315,48
15-20um,254,13.80,33.43,14662,37
20-25um,48,2.61,12.10,2771,14
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,1,0.05,1.23,58,1.38
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,265,14.40,6.17,15296,6.90
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

